"id","region","waterSource","status","installation_date","users_count","owner_phone","women_users","latitude","longitude"
"WP-001","Genève","rainwater","functional","2018-03-11",377,"+41 79 137 11 23",150,46.27,6.31
"WP-002","Bern","protected spring","Non-Functional","2020-09-06",70,"+41 79 174 22 46",28,46.34,6.42
"WP-003","Basel","hand-dug well","functional","30/10/2021",269,"+41 79 211 33 69",107,46.41,6.53
"WP-004","Zürich","protected spring","functional","2021-11-11",330,"+41 79 248 44 92",355,46.48,6.64
"WP-005","Genève","borehole","FUNCTIONAL","2021-01-22",335,"+41 79 285 55 15",134,46.55,6.75
"WP-006","Zürich","borehole","functional","2019-02-25",-99,"+41 79 322 66 38",0,46.62,6.86
"WP-007","Basel","rainwater","Functional","2019-08-22",329,"+41 79 359 77 61",131,46.69,6.97
"WP-008","Bern","protected spring","Non-Functional","22/03/2021",165,"+41 79 396 88 84",66,46.76,7.08
"WP-009","Genève","rainwater","functional","2018-03-04",78,"+41 79 433 99 07",31,0,0
"WP-010","Basel","rainwater","non-functional","2020-10-29",358,"+41 79 470 10 30",143,46.9,7.3
"WP-011","Bern","borehole","Non-Functional","2018-01-01",254,"+41 79 507 21 53",101,46.97,7.41
"WP-012","Bern","rainwater","Functional","2018-02-21",-99,"+41 79 544 32 76",0,47.04,7.52
"WP-013","Zürich","borehole","functional","2018-03-30",57,"+41 79 581 43 99",22,47.11,7.63
"WP-014","Basel","rainwater","functional","14/02/2018",37,"+41 79 618 54 22",14,47.18,7.74
"WP-015","Basel","borehole","functional","2021-02-22",259,"+41 79 655 65 45",103,47.25,7.85
"WP-016","Zürich","hand-dug well","Non-Functional","2021-06-09",186,"+41 79 692 76 68",74,47.32,7.96
"WP-005","Bern","protected spring","FUNCTIONAL","2018-10-04",175,"+41 79 729 87 91",70,47.39,8.07
"WP-018","Zürich","rainwater","non-functional","2018-10-17",254,"+41 79 766 98 14",101,47.46,8.18
"WP-019","Zürich","hand-dug well","functional","2018-04-13",-99,"+41 79 803 09 37",0,47.53,8.29
"WP-020","Bern","protected spring","Non-Functional","2022-02-05",49,"+41 79 840 20 60",19,46.2,8.4
"WP-021","Genève","borehole","non-functional","01/12/2018",48,"+41 79 877 31 83",19,46.27,181.5
"WP-022","Zürich","hand-dug well","functional","2018-04-23",132,"+41 79 914 42 06",157,46.34,8.62
"WP-023","Bern","rainwater","functional","2020-06-10",115,"+41 79 951 53 29",46,46.41,8.73
"WP-024","Basel","borehole","functional","2018-12-10",291,"+41 79 988 64 52",116,46.48,8.84
"WP-025","Bern","hand-dug well","FUNCTIONAL","2018-04-22",-99,"+41 79 125 75 75",0,46.55,8.95
"WP-026","Basel","protected spring","functional","2018-05-20",112,"+41 79 162 86 98",44,46.62,9.06
"WP-027","Bern","protected spring","functional","10/03/2018",230,"+41 79 199 97 21",92,46.69,9.17
"WP-028","Genève","protected spring","FUNCTIONAL","2018-12-30",42,"+41 79 236 08 44",16,46.76,9.28
"WP-029","Zürich","borehole","functional","2021-07-22",303,"+41 79 273 19 67",121,46.83,9.39
"WP-030","Genève","rainwater","functional","2020-03-17",28,"+41 79 310 30 90",11,46.9,9.5
